City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Eureka,US,40.8021,-124.1637,59.2,79,100,7.0,overcast clouds
80,Llata,PE,-9.4167,-76.7833,56.91,72,100,4.14,overcast clouds
81,Bulungu,CD,-4.55,18.6,90.59,35,30,5.32,scattered clouds
82,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,25.32,light rain
83,Antofagasta,CL,-23.65,-70.4,66.22,57,92,5.5,overcast clouds
84,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,61,97,14.83,overcast clouds
85,Namwala,ZM,-15.7504,26.4384,73.04,32,6,7.92,clear sky
86,Mana,GF,5.6592,-53.7767,83.39,73,62,9.8,broken clouds
87,Anahuac,MX,27.2333,-100.15,85.48,49,4,12.62,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,60.66,79,100,6.17,overcast clouds
89,Omboue,GA,-1.5746,9.2618,79.38,74,79,9.17,broken clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,68,6.8,broken clouds
91,Kitgum,UG,3.2783,32.8867,83.53,41,82,4.74,broken clouds
92,Kamenka,RU,51.3223,42.7678,68.83,66,2,9.98,clear sky
93,San Carlos De Bariloche,AR,-41.1456,-71.3082,39.38,85,88,4.92,overcast clouds
94,Atuona,PF,-9.8,-139.0333,77.58,79,19,17.87,few clouds
95,Nioro,GM,13.35,-15.75,99.75,29,2,8.97,clear sky
96,Leningradskiy,RU,69.3833,178.4167,31.69,84,97,3.15,overcast clouds
97,Suphan Buri,TH,14.4742,100.1222,81.91,78,100,5.03,overcast clouds
98,Urusha,RU,54.05,122.9,48.7,91,7,3.85,clear sky
99,Hermanus,ZA,-34.4187,19.2345,61.81,84,100,3.8,overcast clouds
100,Pisco,PE,-13.7,-76.2167,61.02,94,100,1.48,overcast clouds
101,Guerrero Negro,MX,27.9769,-114.0611,63.45,77,96,13.06,overcast clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,30.96,79,98,9.19,overcast clouds
103,Roald,NO,62.5833,6.1333,55.9,76,75,21.85,broken clouds
104,Cayenne,GF,4.9333,-52.3333,86.09,9,75,3.44,broken clouds
105,Pangnirtung,CA,66.1451,-65.7125,41.97,91,10,1.81,clear sky
106,Norman Wells,CA,65.282,-126.8329,45.03,63,80,4.07,broken clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,53.94,77,40,11.5,scattered clouds
108,Yellowknife,CA,62.456,-114.3525,57.56,50,9,8.01,clear sky
109,Nabire,ID,-3.3667,135.4833,74.32,94,100,6.17,moderate rain
110,Port Alfred,ZA,-33.5906,26.891,63.18,80,44,4.0,scattered clouds
