City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Morros,BR,90.0,broken clouds,-9.4467,-46.3003,
245,Cabra,ES,78.21,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
250,Gorontalo,ID,75.85,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
251,Vanimo,PG,77.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
253,Nurota,UZ,80.53,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
255,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
256,Meulaboh,ID,78.93,overcast clouds,4.1363,96.1285,Kost Pria
266,Wankaner,IN,87.55,scattered clouds,22.6167,70.9333,Royal Oasis
267,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
272,Malavalli,IN,82.26,scattered clouds,12.3833,77.0833,Siddapaji Temple
278,Avera,US,78.55,broken clouds,33.194,-82.5271,
279,Djambala,CG,78.39,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
281,Sharjah,AE,86.04,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
283,Black River,JM,85.26,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
284,The Valley,AI,84.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
286,Kimbe,PG,75.33,light rain,-5.5502,150.1429,Kimbe Bay Hotel
291,Buala,SB,80.91,light rain,-8.145,159.5921,Maringe Lagoon Lodge
293,Hithadhoo,MV,84.49,scattered clouds,-0.6,73.0833,Scoop Guest House
294,San Patricio,US,86.92,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
297,Fairview,US,81.23,few clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
298,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
300,Sal Rei,CV,80.8,few clouds,16.1833,-22.9167,Marine Club Beach Resort
301,Tautira,PF,78.28,light rain,-17.7333,-149.15,Pension Oaoa
309,Lorengau,PG,80.69,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
311,Mogadishu,SO,79.2,scattered clouds,2.0371,45.3438,Hotel Juba
314,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
317,Agadir,MA,81.05,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
321,Santa Rosa,PH,84.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
323,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
324,Libreville,GA,80.78,light rain,0.3925,9.4537,Le Méridien Re-Ndama
326,Kismayo,SO,79.39,few clouds,-0.3582,42.5454,Agan-Hotel
328,Gazli,UZ,88.25,few clouds,40.1333,63.45,
331,Gamba,GA,78.78,few clouds,-2.65,10.0,
333,Tevaitoa,PF,80.02,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
335,Quatre Cocos,MU,75.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
340,Puqi,CN,76.42,moderate rain,29.7167,113.8833,Ramada Plaza Chibi
342,Kavaratti,IN,83.7,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
343,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
346,Gizo,SB,82.26,broken clouds,-8.103,156.8419,Imagination Island
352,Basco,PH,84.27,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
353,San-Pedro,CI,81.75,light rain,4.7485,-6.6363,Hotel Maria
355,Le Port,RE,75.2,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
360,Itigi,TZ,75.58,broken clouds,-5.7,34.4833,Bonga Lodge
362,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
363,Manggar,ID,80.8,broken clouds,-2.8833,108.2667,Guest Hotel
364,Maragogi,BR,80.49,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
366,Kaniama,CD,85.66,few clouds,-7.5667,24.1833,
369,Lasa,IT,81.7,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
371,Riverton,US,75.38,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
374,Lake City,US,85.8,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
375,Aurillac,FR,78.69,broken clouds,44.9167,2.45,Hôtel Restaurant Campanile Aurillac
376,Pontes E Lacerda,BR,87.35,broken clouds,-15.2261,-59.3353,Hotel Bressan
379,Andros Town,BS,80.46,overcast clouds,24.7,-77.7667,Hanks place
383,Brigantine,US,82.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
384,Porto Tolle,IT,79.11,broken clouds,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
386,Wencheng,CN,75.49,few clouds,33.0559,113.7978,Ruyi Hostel
387,Lumphat,KH,75.0,scattered clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
388,Mexico,PH,83.91,overcast clouds,15.0646,120.7198,stone place
390,Keti Bandar,PK,82.9,clear sky,24.1447,67.4497,Haji laloo memon house
394,Morropon,PE,79.66,overcast clouds,-5.1822,-79.9689,panaderia jeffeson
396,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
397,Bichena,ET,75.42,overcast clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
402,Ussel,FR,77.16,broken clouds,45.55,2.3167,Logis Hôtel les Gravades
405,Palembang,ID,82.49,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
408,Sterling,US,81.41,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
411,Lae,PG,75.63,scattered clouds,-6.7221,146.9847,Phils Hotel
419,Waingapu,ID,79.05,light rain,-9.6567,120.2641,Pondok Wisata Elim
420,Bayog,PH,75.88,overcast clouds,7.8667,123.0667,JMG Traveller's Inn
425,Jacarau,BR,80.49,overcast clouds,-6.6122,-35.2928,POUSADA DO JOSA
428,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
431,Kavieng,PG,81.0,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
432,Bonthe,SL,84.4,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
433,Eselnita,RO,80.01,broken clouds,44.6992,22.3622,Pensiunea Ancora
434,Cuautla,MX,79.81,clear sky,18.8,-98.95,Hotel de Cuautla
446,Harper,LR,80.13,light rain,4.375,-7.7169,Screensaver
447,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
448,Lazaro Cardenas,MX,82.08,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
451,Porbandar,IN,83.17,few clouds,21.6422,69.6093,Lords Inn Porbandar
454,Kipini,KE,80.89,scattered clouds,-2.5257,40.5262,Delta Sea Mall
456,Sulangan,PH,85.12,overcast clouds,11.1373,123.7228,Maia's Beach Resort
458,Boende,CD,82.58,broken clouds,-0.2167,20.8667,
459,Asau,RO,79.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
460,Kudahuvadhoo,MV,83.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
463,Westport,US,78.55,few clouds,41.1415,-73.3579,The Westport Inn
464,Miramar,US,78.82,mist,25.9873,-80.2323,Stadium Hotel
466,Cururupu,BR,77.25,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
472,Banjarmasin,ID,77.14,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
476,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
478,Osmena,PH,81.99,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
479,Aksu,CN,78.39,clear sky,41.1231,80.2644,Pudong Holiday Hotel
482,Algiers,DZ,80.42,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
486,Port Keats,AU,78.76,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
491,Grand Baie,MU,75.45,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
493,Misratah,LY,80.73,few clouds,32.3754,15.0925,Almasa Hotel
496,Santa Cruz,BO,75.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
498,Potsdam,DE,79.34,overcast clouds,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
499,Goianesia,BR,88.75,few clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
500,Shahr-E Babak,IR,80.06,clear sky,30.1165,55.1186,Duna Ecolodge
502,Diyarb Najm,EG,89.35,clear sky,30.7542,31.4393,COUNCEL YEHIA FAHIM HOUSE
505,Golfito,CR,82.02,overcast clouds,8.639,-83.166,Banana Bay Marina
507,Korla,CN,79.72,overcast clouds,41.7597,86.1469,Gulisitan Hotel
508,Yenagoa,NG,83.61,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
511,Yilan,TW,81.91,scattered clouds,24.757,121.753,Dar Chen Hotel
517,Nishihara,JP,77.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
518,Itarema,BR,82.35,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
522,Dickson,US,77.56,clear sky,36.077,-87.3878,East Hills Bed & Breakfast Inn
525,Axim,GH,82.56,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
537,Kotido,UG,78.84,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
541,Chaplynka,UA,81.37,scattered clouds,46.3651,33.5403,Білий Дім
542,Amiens,FR,81.05,few clouds,49.9,2.3,Grand Hôtel de l'Univers
545,Trinidad,BO,78.93,broken clouds,-14.8333,-64.9,Hotel Piesta
548,Ciudad Real,ES,80.65,clear sky,39.0,-4.0,Casa de la Tia Sabina
549,Sambava,MG,75.56,clear sky,-14.2667,50.1667,Melrose
554,Maningrida,AU,76.21,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
556,Zhangzhou,CN,77.88,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
558,Eyl,SO,81.97,few clouds,7.9803,49.8164,Amiin Hotel
559,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
