City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Soyo,AO,-6.1349,12.3689,79.21,73,3,10.85,clear sky
80,Kodiak,US,57.79,-152.4072,53.87,64,13,4.09,few clouds
81,Nosy Varika,MG,-20.5833,48.5333,72.28,86,97,11.18,moderate rain
82,Dikson,RU,73.5069,80.5464,28.45,86,18,9.51,few clouds
83,Hasaki,JP,35.7333,140.8333,59.4,66,5,4.14,clear sky
84,Lebu,CL,-37.6167,-73.65,51.85,97,100,7.16,moderate rain
85,Port Alfred,ZA,-33.5906,26.891,66.18,74,17,5.99,few clouds
86,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.31,51,100,3.98,overcast clouds
87,Venado Tuerto,AR,-33.7456,-61.9688,51.76,59,100,11.81,overcast clouds
88,Cape Town,ZA,-33.9258,18.4232,69.12,66,20,12.66,few clouds
89,Kanbe,MM,16.7053,96.0017,78.85,81,91,7.67,overcast clouds
90,Jamestown,US,42.097,-79.2353,59.95,41,0,3.0,clear sky
91,Awbari,LY,26.5921,12.7805,96.48,10,0,11.05,clear sky
92,Tocopilla,CL,-22.092,-70.1979,69.87,53,86,3.38,overcast clouds
93,Novonikolayevskiy,RU,50.9738,42.3649,73.78,64,46,9.4,scattered clouds
94,Ust-Nera,RU,64.5667,143.2,58.64,51,6,3.22,clear sky
95,Qui Nhon,VN,13.7667,109.2333,82.67,77,7,6.17,clear sky
96,Khani,GE,41.9563,42.9566,67.57,58,1,4.34,clear sky
97,Puerto Ayora,EC,-0.7393,-90.3518,72.55,82,83,5.77,broken clouds
98,Luena,AO,-11.7833,19.9167,76.6,28,4,5.28,clear sky
99,Thompson,CA,55.7435,-97.8558,37.56,93,100,8.05,overcast clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,75.61,71,0,1.99,clear sky
101,Lata,PT,40.1629,-8.3327,71.08,56,96,6.46,overcast clouds
102,Faanui,PF,-16.4833,-151.75,80.13,74,6,15.32,light rain
103,Gasa,PS,31.5,34.4667,88.88,54,0,14.5,clear sky
104,Moron,AR,-34.6534,-58.6198,54.97,83,100,8.37,overcast clouds
105,Kuvshinovo,RU,57.0295,34.1725,65.86,39,33,10.18,scattered clouds
106,Kahului,US,20.8947,-156.47,73.85,84,2,1.99,clear sky
107,Saskylakh,RU,71.9167,114.0833,35.56,94,100,12.48,light rain
108,Victoria,HK,22.2855,114.1577,86.38,83,100,11.99,overcast clouds
109,Macherla,IN,16.4833,79.4333,101.37,22,97,12.41,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,42.71,88,65,2.1,light rain
111,Souillac,MU,-20.5167,57.5167,75.58,60,40,18.41,scattered clouds
112,Neiafu,TO,-18.65,-173.9833,74.08,94,20,0.0,few clouds
113,Ilulissat,GL,69.2167,-51.1,38.59,58,19,4.81,few clouds
114,Xai-Xai,MZ,-25.0519,33.6442,71.62,72,0,6.17,clear sky
115,Coquimbo,CL,-29.9533,-71.3436,55.13,50,0,5.75,clear sky
116,Kavaratti,IN,10.5669,72.642,83.71,75,54,16.75,broken clouds
117,Labuhan,ID,-6.8844,112.2051,80.78,80,100,6.44,overcast clouds
118,Lashio,MM,22.9333,97.75,69.08,96,83,1.99,broken clouds
119,Walvis Bay,NA,-22.9575,14.5053,84.07,20,5,4.34,clear sky
120,Mar Del Plata,AR,-38.0023,-57.5575,51.94,78,20,6.91,few clouds
121,Ahipara,NZ,-35.1667,173.1667,54.03,80,100,4.92,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,73.13,67,45,3.98,scattered clouds
123,Imbituba,BR,-28.24,-48.6703,64.09,79,21,1.99,few clouds
124,Kodinsk,RU,58.6881,99.1844,41.56,80,100,2.8,overcast clouds
125,Bethel,US,41.3712,-73.414,74.88,67,14,3.29,few clouds
126,Sabang,ID,5.8933,95.3214,83.98,74,100,13.73,overcast clouds
127,Grand-Santi,GF,4.25,-54.3833,82.67,72,85,4.16,overcast clouds
128,Asilah,MA,35.465,-6.0348,73.36,66,0,10.96,clear sky
129,Ayan,RU,56.45,138.1667,39.61,93,61,7.29,broken clouds
130,Rognan,NO,67.0953,15.3878,51.76,82,100,9.08,overcast clouds
131,Castro,BR,-24.7911,-50.0119,56.01,79,92,8.23,overcast clouds
132,Ocampo,MX,21.65,-101.5,61.99,47,91,2.26,overcast clouds
133,Kieta,PG,-6.2167,155.6333,78.8,80,91,2.48,overcast clouds
134,Plettenberg Bay,ZA,-34.0527,23.3716,62.92,62,100,9.8,overcast clouds
135,Maceio,BR,-9.6658,-35.7353,74.64,88,100,2.3,overcast clouds
136,Tautira,PF,-17.7333,-149.15,78.46,78,31,13.4,light rain
137,Meulaboh,ID,4.1363,96.1285,79.99,79,100,1.52,overcast clouds
138,Tena,EC,-0.9833,-77.8167,66.36,84,100,0.54,overcast clouds
139,Moranbah,AU,-22.0016,148.0466,66.09,75,39,7.83,scattered clouds
140,Witu,KE,-2.3889,40.4382,78.84,76,24,15.82,light rain
141,Letychiv,UA,49.3826,27.6305,72.0,62,94,8.57,overcast clouds
142,Rawson,AR,-43.3002,-65.1023,49.17,55,87,12.26,overcast clouds
143,Zhigansk,RU,66.7697,123.3711,57.4,79,77,5.21,broken clouds
144,Celestun,MX,20.8667,-90.4,81.14,74,18,7.87,few clouds
145,Eganville,CA,45.5334,-77.0994,58.33,55,40,11.59,scattered clouds
146,Calvinia,ZA,-31.4707,19.776,69.91,12,11,9.06,few clouds
147,Tougan,BF,13.0667,-3.0667,105.46,15,1,7.85,clear sky
148,Kyshtovka,RU,56.555,76.6271,48.42,62,100,7.99,overcast clouds
149,Sergeyevka,KZ,53.88,67.4158,54.41,60,19,4.07,few clouds
150,Nelson Bay,AU,-32.7167,152.15,53.1,76,0,16.22,clear sky
151,Yining,CN,29.0361,114.5636,75.09,96,53,2.26,moderate rain
152,Axim,GH,4.8699,-2.2405,83.17,74,100,7.36,light rain
153,Olinda,BR,-8.0089,-34.8553,76.73,94,100,9.22,light rain
154,Butaritari,KI,3.0707,172.7902,80.76,69,38,8.43,scattered clouds
155,Muisne,EC,0.6,-80.0333,76.06,88,100,5.91,light rain
156,Rancho Palos Verdes,US,33.7445,-118.387,65.08,90,100,5.01,overcast clouds
157,Tawang,IN,27.5833,91.8667,55.8,98,100,0.51,overcast clouds
158,Pevek,RU,69.7008,170.3133,28.89,97,100,9.93,light snow
159,Foz,ES,43.5692,-7.2544,63.59,85,98,5.32,overcast clouds
160,Tuatapere,NZ,-46.1333,167.6833,40.64,87,100,4.99,overcast clouds
161,Lakhimpur,IN,27.95,80.7667,101.17,7,100,6.42,overcast clouds
162,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,40,6.91,scattered clouds
163,Aklavik,CA,68.2191,-135.0107,32.0,80,100,8.05,overcast clouds
164,Nishihara,JP,26.1842,127.7558,76.68,94,75,5.75,broken clouds
165,Bonthe,SL,7.5264,-12.505,85.91,60,98,7.94,overcast clouds
166,Dossor,KZ,47.5272,52.9811,89.83,15,10,4.68,clear sky
167,Beni Suef,EG,29.0731,31.0979,100.17,13,0,11.56,clear sky
168,Gamba,GA,-2.65,10.0,79.92,72,20,10.18,few clouds
169,The Pas,CA,53.8251,-101.2541,42.82,81,0,6.91,clear sky
170,Opuwo,NA,-18.0607,13.84,75.87,21,34,13.94,scattered clouds
171,Alofi,NU,-19.0595,-169.9187,73.29,100,8,2.3,clear sky
172,Bastia,FR,42.6667,9.3333,93.0,79,0,9.22,clear sky
173,Hithadhoo,MV,-0.6,73.0833,84.42,69,47,8.59,scattered clouds
174,Aksha,RU,50.2814,113.2867,52.68,96,100,9.1,moderate rain
175,Lima,PE,-12.0432,-77.0282,65.89,81,75,3.44,mist
176,Alihe,CN,50.5667,123.7167,52.03,92,54,4.41,broken clouds
177,Magdagachi,RU,53.45,125.8,54.41,74,88,2.1,overcast clouds
178,Isangel,VU,-19.55,169.2667,73.47,87,100,7.23,overcast clouds
179,Atambua,ID,-9.1061,124.8925,74.14,87,99,2.84,overcast clouds
180,Mayo,US,38.8876,-76.5119,79.47,58,0,9.22,clear sky
181,Yangshe,CN,31.8899,120.6052,80.04,98,99,1.01,moderate rain
182,Mahebourg,MU,-20.4081,57.7,75.25,64,5,20.22,clear sky
183,Guerrero Negro,MX,27.9769,-114.0611,61.61,82,97,12.84,overcast clouds
184,Khovu-Aksy,RU,51.1333,93.6,54.01,43,69,2.28,broken clouds
185,Leningradskiy,RU,69.3833,178.4167,30.81,87,95,2.91,overcast clouds
186,Shellbrook,CA,53.2168,-106.4011,49.8,49,1,5.53,clear sky
187,Les Escoumins,CA,48.1111,-69.0236,51.15,86,99,1.72,overcast clouds
188,Mitu,CO,1.1983,-70.1733,71.89,95,100,0.85,light rain
189,Mocuba,MZ,-16.8392,36.9856,70.61,79,100,3.89,overcast clouds
190,Brazzaville,CG,-4.2658,15.2832,93.81,30,18,6.46,few clouds
191,Kichmengskiy Gorodok,RU,59.9816,45.7854,60.48,76,60,7.05,light rain
192,Omboue,GA,-1.5746,9.2618,80.06,73,86,8.55,overcast clouds
193,San Quintin,MX,30.4833,-115.95,61.38,87,64,11.21,broken clouds
194,Sabha,LY,27.0377,14.4283,95.58,12,0,10.29,clear sky
195,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,93,75,3.44,broken clouds
196,Skjervoy,NO,70.0311,20.9714,51.8,86,92,13.02,light rain
197,Ilesha,NG,7.1371,5.2583,85.57,64,100,4.03,light rain
198,Morant Bay,JM,17.8815,-76.4093,83.71,80,99,11.3,light rain
199,Portobelo,PA,9.55,-79.65,85.75,73,20,3.53,few clouds
200,Ena,JP,35.4498,137.4128,67.06,92,99,1.72,overcast clouds
201,Yerbogachen,RU,61.2767,108.0108,47.46,51,71,1.7,broken clouds
202,Lesnoye,RU,58.2841,35.5158,60.67,61,100,9.66,overcast clouds
203,Kaduqli,SD,11.0167,29.7167,94.77,27,93,10.45,overcast clouds
204,Gizo,SB,-8.103,156.8419,82.4,73,71,4.52,broken clouds
205,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.04,82,99,2.95,overcast clouds
206,Panjab,AF,34.388,67.0233,65.3,17,30,5.7,scattered clouds
207,Gogrial,SS,8.5332,28.1004,100.13,21,96,8.3,overcast clouds
208,Valley Station,US,38.1112,-85.8702,76.3,59,20,3.44,few clouds
209,Ballina,AU,-28.8667,153.5667,55.02,79,83,7.25,broken clouds
210,Talnakh,RU,69.4865,88.3972,33.53,88,100,9.86,light snow
211,College,US,64.8569,-147.8028,57.9,47,82,1.01,broken clouds
212,Tual,ID,-5.6667,132.75,83.91,73,100,7.14,overcast clouds
213,Marsaxlokk,MT,35.8419,14.5431,76.59,65,13,6.17,few clouds
214,Wangkui,CN,46.8333,126.5,57.18,66,100,17.96,overcast clouds
215,Moramanga,MG,-18.9333,48.2,60.01,96,99,4.68,light rain
216,Torbay,CA,47.6666,-52.7314,50.29,77,100,7.0,overcast clouds
217,Ponta Delgada,PT,37.7333,-25.6667,66.92,94,75,11.5,broken clouds
218,At-Bashi,KG,41.1702,75.8106,56.89,44,25,7.23,scattered clouds
219,Provideniya,RU,64.3833,-173.3,46.2,62,95,3.76,overcast clouds
220,Cape Coast,GH,5.1053,-1.2466,82.53,73,100,5.93,overcast clouds
221,Piacabucu,BR,-10.4056,-36.4344,79.9,81,91,9.78,overcast clouds
222,Tilaran,CR,10.4703,-84.9671,75.11,79,92,3.65,overcast clouds
223,Pochutla,MX,15.7432,-96.4661,79.83,77,14,1.5,few clouds
224,La Ronge,CA,55.1001,-105.2842,46.26,60,0,3.56,clear sky
225,Qostanay,KZ,53.1667,63.5833,55.69,47,0,8.95,clear sky
226,Shingu,JP,33.7333,135.9833,66.04,91,100,2.93,overcast clouds
227,Tarauaca,BR,-8.1614,-70.7656,73.47,97,100,1.39,overcast clouds
228,San Patricio,US,28.017,-97.5169,83.89,78,10,3.44,clear sky
229,Touros,BR,-5.1989,-35.4608,84.11,66,100,10.09,overcast clouds
230,Claremore,US,36.3126,-95.6161,71.31,72,0,4.0,clear sky
231,Tomelloso,ES,39.1522,-3.0243,81.52,21,0,13.56,clear sky
232,Victor Harbor,AU,-35.5667,138.6167,54.0,91,23,26.78,moderate rain
233,Mahibadhoo,MV,3.7833,72.9667,83.46,76,20,14.65,few clouds
